epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.0,1.4285588264465332,4.1235127449035645,7.681970119476318,50.975303649902344,7.399979114532471,48.52002716064453,9.60837173461914,0
1,-0.04948782920837402,1.5609488487243652,3.7161786556243896,7.015796661376953,46.6978759765625,6.702874183654785,43.52558135986328,8.989119529724121,286983.0324823917
2,-0.04026348143815994,1.601383090019226,3.5956509113311768,6.884604454040527,45.43962097167969,6.6021223068237305,42.792015075683594,8.598456382751465,0.8682287475284265
3,-0.004427648149430752,1.6534658670425415,3.412353038787842,6.75397253036499,44.398582458496094,6.5828094482421875,42.905967712402344,8.370315551757812,0.4659068015765171
4,-0.0020783867221325636,1.7145315408706665,3.3041303157806396,6.68558406829834,44.06874465942383,6.536388397216797,42.41838836669922,8.143320083618164,0.3479068958941771
5,-0.005923101678490639,1.7289503812789917,3.2179172039031982,6.641707897186279,43.74414825439453,6.52903938293457,42.40483856201172,7.947117805480957,0.3020104454184065
6,-0.0027968473732471466,1.7344118356704712,3.177607536315918,6.6298956871032715,43.650691986083984,6.526371002197266,42.401485443115234,7.741208076477051,0.2710991310221808
7,-0.0048638004809618,1.7282568216323853,3.1218791007995605,6.5966010093688965,43.360130310058594,6.52494478225708,42.41763687133789,7.5130791664123535,0.2590403045926775
8,-0.005081064533442259,1.7222678661346436,3.075239658355713,6.566896438598633,43.0814323425293,6.519785404205322,42.14741134643555,7.273505210876465,0.24766185499575674
9,-0.005926176905632019,1.6908793449401855,3.0251340866088867,6.546772480010986,42.970699310302734,6.507585048675537,42.09923553466797,7.020299911499023,0.24057737753099326
10,-0.003358224406838417,1.676998257637024,2.993647813796997,6.53321647644043,42.81708526611328,6.501585960388184,42.02936553955078,6.755013465881348,0.2347260733344117
11,-0.0053811585530638695,1.6269237995147705,2.970073938369751,6.521589279174805,42.778236389160156,6.4970703125,42.017616271972656,6.4749369621276855,0.22249842313479404
12,-0.007731926627457142,1.617823839187622,2.9390928745269775,6.515237808227539,42.76771926879883,6.4870924949646,41.779762268066406,6.197596549987793,0.22139758966406997
13,-0.00396385183557868,1.5897576808929443,2.893878221511841,6.495800018310547,42.561519622802734,6.4831366539001465,41.833431243896484,5.880633354187012,0.21731122613561396
14,-0.003635979490354657,1.5981940031051636,2.816934823989868,6.495072841644287,42.44945526123047,6.48193883895874,41.841739654541016,5.5948405265808105,0.21235246089648227
15,-0.0059429663233459,1.563552737236023,2.7933759689331055,6.488603115081787,42.41792678833008,6.472978115081787,41.52825927734375,5.3097920417785645,0.20535653814369317
16,-0.0035551004111766815,1.5910192728042603,2.678611993789673,6.465364933013916,42.27796173095703,6.470913887023926,41.691410064697266,5.110288619995117,0.20540819742849895
17,-0.006099284160882235,1.5127121210098267,2.696475028991699,6.472293376922607,42.273555755615234,6.468972682952881,41.670562744140625,4.978074073791504,0.19554259856136477
18,-0.010826271027326584,1.4851268529891968,2.646512269973755,6.476654529571533,42.365577697753906,6.450625896453857,41.428680419921875,4.792369365692139,1.583163966937941
19,-0.005532324779778719,1.4434306621551514,2.6033899784088135,6.471806526184082,42.28523635864258,6.442719459533691,41.36053466796875,4.623656749725342,0.18368827171471655
20,-0.0021133283153176308,1.4410710334777832,2.556565999984741,6.464600563049316,42.166133880615234,6.434964179992676,41.22621154785156,4.482985019683838,0.18304923412447072
21,-0.002978242002427578,1.369423270225525,2.545748472213745,6.453003406524658,42.11044692993164,6.42876672744751,41.22254180908203,4.377921104431152,0.17248682153164124
22,-0.006273886188864708,1.3750735521316528,2.517104148864746,6.461738109588623,42.09958267211914,6.422889709472656,41.10435485839844,4.296139240264893,0.16595607334557844
23,-0.0045549445785582066,1.2907452583312988,2.537548303604126,6.4596967697143555,42.07624816894531,6.416907787322998,40.986915588378906,4.236921310424805,0.1585808525584182
24,-0.006837034597992897,1.3067556619644165,2.467719078063965,6.456166744232178,41.9420166015625,6.4087138175964355,40.967430114746094,4.121728420257568,0.1562370841144299
25,-0.004545263480395079,1.291264295578003,2.45536732673645,6.450375556945801,41.953269958496094,6.403896808624268,40.94376754760742,4.029038906097412,0.14942158629395524
26,-0.0034491638652980328,1.2450647354125977,2.414900541305542,6.461155414581299,42.07361602783203,6.403034210205078,40.94614791870117,3.927065372467041,0.143720808381937
27,0.0014150674687698483,1.1804181337356567,2.4116854667663574,6.458629608154297,42.01045227050781,6.401037693023682,40.79473876953125,3.821089506149292,0.12944760652525084
28,-0.0014401798835024238,1.139419436454773,2.4268786907196045,6.433189868927002,41.587120056152344,6.391799449920654,40.64845275878906,3.7458512783050537,0.1254960729607514
29,-0.0009325240389443934,1.0987752676010132,2.410715341567993,6.424925327301025,41.677696228027344,6.38853645324707,40.60895538330078,3.63822865486145,0.11420723316924912
30,-0.0002779700153041631,1.080470323562622,2.396305799484253,6.41465425491333,41.39773941040039,6.36407470703125,40.31110763549805,3.468203067779541,0.10798266552844826
