epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.0,0.6059868931770325,1.6566078662872314,3.169475793838501,10.00191879272461,3.5062355995178223,12.030232429504395,9.53796672821045,0
1,0.0037174373865127563,0.5368385314941406,1.612098217010498,3.1236355304718018,10.0380220413208,3.4867587089538574,12.05583381652832,9.378117561340332,374.8819097271189
2,0.006372073199599981,0.522270679473877,1.6057765483856201,3.132150888442993,10.109718322753906,3.508741617202759,12.25192642211914,9.218953132629395,1.000432454093243
3,0.00382199021987617,0.48483675718307495,1.5977569818496704,3.0621726512908936,9.806367874145508,3.474912405014038,11.93728256225586,9.06089973449707,0.21220365626504645
4,-0.003844435326755047,0.48381325602531433,1.595118761062622,3.054257392883301,9.70709228515625,3.4509544372558594,11.827285766601562,8.904134750366211,0.1868953622179106
5,-0.003256729571148753,0.4226147532463074,1.5865033864974976,2.995380401611328,9.367517471313477,3.425851821899414,11.606344223022461,8.748735427856445,0.1192533050198108
6,0.001992239383980632,0.4120466411113739,1.5843095779418945,2.983504295349121,9.302491188049316,3.4186878204345703,11.538942337036133,8.59469223022461,0.13427329272963107
7,0.006222437601536512,0.41170603036880493,1.5836262702941895,2.9784481525421143,9.291584014892578,3.413562774658203,11.507320404052734,8.442028045654297,0.07014143624110147
8,-0.004824331030249596,0.4148103892803192,1.582207441329956,2.9876508712768555,9.328149795532227,3.425018310546875,11.55018424987793,8.290749549865723,0.4573081885027932
9,0.0034544358495622873,0.39979323744773865,1.5793811082839966,2.987549304962158,9.342389106750488,3.445557117462158,11.621667861938477,8.140865325927734,0.1859017990063876
10,-0.008990617468953133,0.38100603222846985,1.5751618146896362,3.0044920444488525,9.43501091003418,3.4674839973449707,11.736003875732422,7.992376804351807,0.5040344645967707
11,-0.0006716403877362609,0.30813276767730713,1.5643227100372314,2.9627676010131836,9.245250701904297,3.4265260696411133,11.476662635803223,7.845324516296387,0.16827893326990306
12,-0.0018822525162249804,0.3024695813655853,1.5612527132034302,2.9582035541534424,9.200403213500977,3.4202017784118652,11.414130210876465,7.699646472930908,0.12774364242795855
13,0.0004801058385055512,0.301155149936676,1.5600042343139648,2.955303430557251,9.180217742919922,3.427774667739868,11.409137725830078,7.5553693771362305,0.14202408990240656
14,0.0070493887178599834,0.2788114547729492,1.556600570678711,2.951493263244629,9.207045555114746,3.421262502670288,11.36197280883789,7.426760196685791,0.08056921837851405
15,-0.0017060930840671062,0.2543398141860962,1.5537254810333252,2.952988386154175,9.25167465209961,3.4192590713500977,11.346559524536133,7.299252033233643,0.07336948217198369
16,0.0010738191194832325,0.23786897957324982,1.5518440008163452,2.950629472732544,9.241190910339355,3.419031858444214,11.332088470458984,7.172826290130615,0.21290897918652263
17,-0.016534393653273582,0.24123071134090424,1.5500603914260864,2.9564108848571777,9.2644624710083,3.4200754165649414,11.315643310546875,7.0474629402160645,0.11634423403302208
18,0.00086377834668383,0.17499183118343353,1.544791579246521,2.9313547611236572,9.153491973876953,3.3804006576538086,11.107039451599121,6.923203945159912,0.08690501617093105
19,-0.00013770216901320964,0.1497291624546051,1.5427836179733276,2.9266111850738525,9.16105842590332,3.3671905994415283,11.01701831817627,6.800036430358887,0.06189973544678651
20,0.0008060251129791141,0.15860652923583984,1.542789340019226,2.9199941158294678,9.075300216674805,3.359346628189087,10.978126525878906,6.67801570892334,0.06155031303933356
21,-0.005986443720757961,0.1530776470899582,1.5414879322052002,2.9173502922058105,9.04694938659668,3.3515465259552,10.950566291809082,6.557080268859863,0.05940524636389455
22,0.0002548351767472923,0.1269032061100006,1.5395569801330566,2.911088466644287,9.011650085449219,3.3388710021972656,10.882652282714844,6.437251091003418,0.07155323144979775
23,-0.0013580420054495335,0.12415973097085953,1.538482904434204,2.9082179069519043,8.989667892456055,3.333373785018921,10.8782958984375,6.318601131439209,0.07224849855992943
24,-0.007053077686578035,0.11486084014177322,1.5373344421386719,2.905451536178589,8.969671249389648,3.3272316455841064,10.880264282226562,6.201146125793457,0.08003124222159386
25,0.003415173850953579,0.09739833325147629,1.5359054803848267,2.9047088623046875,9.004459381103516,3.3246045112609863,10.863387107849121,6.084690093994141,0.08532671979628503
26,-0.0054016695357859135,0.09157874435186386,1.5334614515304565,2.9073359966278076,9.084604263305664,3.321347951889038,10.83029556274414,5.969287872314453,0.14124786911270348
27,-0.006925840396434069,0.07951571047306061,1.5298919677734375,2.8965940475463867,9.010944366455078,3.3070976734161377,10.81541633605957,5.855136394500732,0.10111534921452403
28,0.0015658789779990911,0.056000277400016785,1.5278400182724,2.8935348987579346,9.038058280944824,3.301913022994995,10.758395195007324,5.7653913497924805,0.10911183433199767
29,0.0009108451195061207,0.03747478872537613,1.5261493921279907,2.893479108810425,9.030801773071289,3.297881841659546,10.730125427246094,5.701742172241211,0.06100082054035738
30,-0.005422958172857761,0.018828781321644783,1.5238910913467407,2.8898181915283203,9.019792556762695,3.287545919418335,10.672454833984375,5.6414103507995605,0.06863218802027404
31,-0.0004803664342034608,0.020340504124760628,1.5226688385009766,2.8870177268981934,8.990792274475098,3.2816696166992188,10.681035995483398,5.53725004196167,0.0556181961146649
32,-0.0017077371012419462,0.00944675412029028,1.5218921899795532,2.886809825897217,9.007579803466797,3.27842378616333,10.662683486938477,5.479223251342773,0.047791341959964484
33,0.006228637415915728,0.0052082776091992855,1.521466851234436,2.887722969055176,8.989904403686523,3.2774181365966797,10.650138854980469,5.444725036621094,0.04312739468878135
34,0.001482219435274601,0.005320493131875992,1.5205762386322021,2.8859500885009766,8.982074737548828,3.270909070968628,10.62804889678955,5.3691792488098145,0.09257972764316946
35,-0.008543225936591625,0.006435195449739695,1.5197522640228271,2.8842995166778564,8.970413208007812,3.2641031742095947,10.612872123718262,5.283876419067383,0.05300717963837087
36,0.0006452036905102432,0.00883855577558279,1.519316554069519,2.8857614994049072,8.962024688720703,3.2651355266571045,10.62647819519043,5.226504325866699,0.052111021272139624
37,0.002315942430868745,0.019620316103100777,1.518662691116333,2.88519549369812,8.948379516601562,3.2622437477111816,10.626471519470215,5.186417102813721,0.04890657075884519
38,0.00021878733241464943,0.02203976921737194,1.5182745456695557,2.8838584423065186,8.948406219482422,3.2569026947021484,10.617852210998535,5.1157755851745605,0.04758431686786935
39,-0.003081480273976922,0.031393762677907944,1.5175628662109375,2.8826913833618164,8.946258544921875,3.251607656478882,10.599824905395508,5.057387351989746,0.04159291541145649
40,-0.018827926367521286,0.031164322048425674,1.5148189067840576,2.881371021270752,8.907435417175293,3.237354278564453,10.577079772949219,4.9819183349609375,0.11317697004415095
