epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.10000000149011612,1.4285588264465332,4.1235127449035645,7.681970119476318,50.975303649902344,7.399979114532471,48.52002716064453,9.508371353149414,7.390115261077881,0
1,0.06916366517543793,1.4567067623138428,3.889085292816162,7.119297027587891,45.8852424621582,6.854301929473877,43.43809509277344,9.408416748046875,7.06703519821167,6.444017572070176e+20
2,0.02917301468551159,1.5518447160720825,3.693826675415039,6.682560443878174,42.34795379638672,6.469180107116699,40.02651596069336,9.308645248413086,6.777032852172852,1354236112.2468262
3,0.0049437470734119415,1.6214221715927124,3.5604584217071533,6.534879207611084,41.40686798095703,6.330484390258789,39.13869857788086,9.209317207336426,6.488254070281982,347.7112522125244
4,-0.0026497638318687677,1.5905953645706177,3.4838669300079346,6.358887195587158,40.524295806884766,6.20057487487793,38.88484573364258,9.109764099121094,6.2709221839904785,10.016275691986085
5,-0.005600794684141874,1.576805830001831,3.442958354949951,6.207241058349609,39.534446716308594,6.152138710021973,39.02818298339844,9.014752388000488,6.189385890960693,2.0422673761844634
6,-0.008181236684322357,1.5763658285140991,3.405059814453125,6.10597562789917,38.899635314941406,6.137697696685791,39.12666320800781,8.925030708312988,6.094350814819336,1.02862309217453
7,-0.009494571015238762,1.5810060501098633,3.379342555999756,6.046175479888916,38.55626678466797,6.130132675170898,39.01449203491211,8.837860107421875,6.002471446990967,1.0028121948242188
8,-0.010745313949882984,1.5887337923049927,3.3640971183776855,6.003735542297363,38.2842903137207,6.122765064239502,39.028751373291016,8.752633094787598,5.9116644859313965,0.775813627243042
9,-0.011758388951420784,1.6058902740478516,3.34671950340271,5.970900058746338,38.02721405029297,6.120467662811279,38.999813079833984,8.667795181274414,5.821392059326172,0.6698750734329224
10,-0.012211151421070099,1.6280888319015503,3.332047462463379,5.940550804138184,37.704490661621094,6.115610599517822,38.93658447265625,8.584260940551758,5.7320075035095215,0.6695035994052887
