epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.10000000149011612,1.4285590648651123,4.1235127449035645,7.681970119476318,50.975303649902344,7.399979114532471,48.52002716064453,9.508371353149414,0
1,-0.09299638867378235,1.4199529886245728,3.9251277446746826,7.121103763580322,45.89740753173828,6.8380126953125,43.257240295410156,9.408416748046875,9.943871068680247e+26
2,-0.11750837415456772,1.4436739683151245,3.868107318878174,6.658617973327637,41.805233001708984,6.373973846435547,39.0872802734375,9.308646202087402,2.2054846583381232e+21
3,-0.12690593302249908,1.45272958278656,3.8457846641540527,6.241187572479248,38.16669464111328,5.952929496765137,35.44795227050781,9.209200859069824,2.1923656658506016e+22
4,-0.13060274720191956,1.4562480449676514,3.8360910415649414,5.866833686828613,34.938716888427734,5.5730977058410645,32.2040901184082,9.110180854797363,2.026566890743885e+22
5,-0.1320440024137497,1.4575706720352173,3.8312387466430664,5.532272815704346,32.155029296875,5.23296594619751,29.379535675048828,9.011642456054688,1.8982378063715605e+21
6,-0.13259775936603546,1.4580246210098267,3.8281893730163574,5.233938217163086,29.75128936767578,4.930351734161377,26.79894256591797,8.913616180419922,9.420873772323761e+20
7,-0.13280752301216125,1.4581376314163208,3.8257505893707275,4.968337059020996,27.60577392578125,4.662453651428223,24.480131149291992,8.816117286682129,2.152253430458923e+20
8,-0.1328859180212021,1.4581162929534912,3.823464870452881,4.732244491577148,25.670970916748047,4.425802707672119,22.424285888671875,8.719152450561523,6.118972880124672e+19
9,-0.1329147070646286,1.458040475845337,3.8211612701416016,4.522580146789551,23.97130012512207,4.2167229652404785,20.62042236328125,8.622726440429688,3.6687219553017946e+19
10,-0.13292492926120758,1.4579403400421143,3.8187808990478516,4.336489677429199,22.48208999633789,4.031722545623779,19.030105590820312,8.526841163635254,1.977483428016748e+19
