epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,-0.1000000014901161,1.4285588264465332,4.1235127449035645,7.681970119476318,50.97530364990234,7.399979114532471,48.52002716064453,9.508371353149414,7.390115261077881,0.0
1,-0.0780756771564483,1.4053466320037842,3.906883001327514,7.10218620300293,45.67822265625,6.82756233215332,43.1718864440918,9.408416748046877,7.066850185394287,2.9369023984921965e+29
2,-0.1077696308493614,1.4349762201309204,3.837347269058228,6.63314962387085,41.49403762817383,6.371557235717773,39.1184196472168,9.308646202087402,6.753755569458008,1.68964797638939e+21
3,-0.1191539019346237,1.4463050365447998,3.8106882572174072,6.211490154266357,37.81800079345703,5.962475299835205,35.637054443359375,9.209200859069824,6.454153537750244,2.913317334861762e+22
4,-0.1236322745680809,1.4507269859313965,3.7996325492858887,5.833694934844971,34.57315444946289,5.595860004425049,32.560791015625,9.110180854797363,6.170105934143066,3.755341509326057e+22
5,-0.125378206372261,1.4524117708206177,3.794602155685425,5.495922088623047,31.78057861328125,5.269069194793701,29.89838981628418,9.011642456054688,5.902486324310303,1.285801128121326e+22
6,-0.1260490417480468,1.4530160427093506,3.791865110397339,5.194386005401611,29.37094116210937,4.979426860809326,27.467456817626957,8.913616180419922,5.651298999786377,5.571846680713495e+21
7,-0.1263031661510467,1.4531983137130735,3.789954662322998,4.925512313842773,27.22051239013672,4.723935127258301,25.282493591308597,8.816117286682129,5.416008472442627,1.5290218989612077e+21
8,-0.1263981461524963,1.4532160758972168,3.788301706314087,4.686061382293701,25.28104019165039,4.4990410804748535,23.343971252441406,8.719152450561523,5.195790767669678,3.1156152464123625e+20
9,-0.1264330297708511,1.453168511390686,3.786692142486572,4.47296142578125,23.5766716003418,4.301011562347412,21.642059326171875,8.622726440429688,4.989688873291016,1.404111029225197e+20
10,-0.1264454573392868,1.453093647956848,3.785046815872192,4.2833781242370605,22.082630157470703,4.126286029815674,20.139907836914062,8.526841163635254,4.924935340881348,6.522975012592414e+19
