epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.009999999776482582,0.5377797484397888,4.157003879547119,7.902341842651367,50.441070556640625,8.627015113830566,52.58292007446289,9.966900825500488,5.742205619812012,0
1,-0.01641393080353737,0.5593749284744263,4.011756896972656,7.479807376861572,48.29283142089844,8.315634727478027,50.38523483276367,9.806051254272461,5.233546257019043,21453389.41293454
2,-0.0360952652990818,0.5747104287147522,3.9427385330200195,7.274415493011475,47.78977966308594,8.186939239501953,49.639549255371094,9.655145645141602,4.906823635101318,10.42359884083271
3,-0.050742220133543015,0.6018347144126892,3.915138006210327,7.207642078399658,47.62062454223633,8.149004936218262,49.211944580078125,9.510510444641113,4.642323017120361,3.718630611896515
4,-0.07955817878246307,0.6131197810173035,3.8962676525115967,7.179758548736572,47.684661865234375,8.144088745117188,49.035011291503906,9.367646217346191,4.459933757781982,2.5776019990444183
5,-0.08669773489236832,0.6476771831512451,3.8811933994293213,7.159712791442871,47.6815299987793,8.148488998413086,49.083457946777344,9.245421409606934,4.406139373779297,2.673933207988739
6,-0.09000033140182495,0.7120780944824219,3.870283365249634,7.114345073699951,47.463134765625,8.14600944519043,49.07927703857422,9.242279052734375,4.380380630493164,2.4925706833601
7,-0.08918920159339905,0.7566974759101868,3.877650022506714,7.049678325653076,47.10772705078125,8.143209457397461,49.03017044067383,9.31546401977539,4.332648277282715,2.377813935279846
8,-0.09012189507484436,0.7392544746398926,3.8842411041259766,7.005369663238525,46.98692321777344,8.148699760437012,49.090980529785156,9.451141357421875,4.296128273010254,2.3217629343271255
9,-0.084102101624012,0.7792240381240845,3.8672688007354736,6.964140892028809,46.683834075927734,8.115365982055664,48.88650131225586,9.4866304397583,4.280282497406006,2.3190219700336456
10,-0.09631840884685516,0.7574746608734131,3.8671035766601562,6.941731929779053,46.602317810058594,8.135703086853027,49.07270050048828,9.512699127197266,4.258347988128662,2.315486967563629
