epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.10000000149011612,0.345167338848114,1.7101954221725464,2.9684553146362305,10.530745506286621,4.263136863708496,12.39979362487793,9.5006742477417,0
1,-0.03091895952820778,0.4822014570236206,1.4841504096984863,2.5206334590911865,8.70016098022461,3.8607020378112793,10.462126731872559,9.340825080871582,1914512872370.2478
2,0.010831847786903381,0.5630851984024048,1.3557958602905273,2.3420772552490234,8.344892501831055,3.6657023429870605,9.999795913696289,9.181702613830566,76.36380192637444
3,0.0293011125177145,0.5993608832359314,1.3053786754608154,2.2428672313690186,8.278678894042969,3.5809166431427,9.842962265014648,9.024404525756836,1.2241747379302979
4,0.007302465382963419,0.6202312111854553,1.2888375520706177,2.2343921661376953,8.459939002990723,3.54168963432312,9.855354309082031,8.874297142028809,0.42361036501824856
5,-0.010387920774519444,0.6282210946083069,1.2823541164398193,2.2883713245391846,8.640817642211914,3.528181552886963,10.358108520507812,8.71914005279541,0.10956720908507123
6,-0.0021332937758415937,0.6650464534759521,1.2720789909362793,2.282823324203491,8.595727920532227,3.5191330909729004,10.446538925170898,8.56410026550293,0.06417979311663657
7,0.0003831034991890192,0.6983048915863037,1.2619658708572388,2.2745883464813232,8.556879043579102,3.510896921157837,10.433633804321289,8.410605430603027,0.04217528253320779
8,-0.0078579718247056,0.7022501230239868,1.2613580226898193,2.2591443061828613,8.492396354675293,3.502908706665039,10.422099113464355,8.258383750915527,0.033917321838089265
9,-0.006512784864753485,0.7080535292625427,1.25983464717865,2.24641752243042,8.447593688964844,3.5021145343780518,10.415823936462402,8.108271598815918,0.03324686433188617
10,-0.0005032064509578049,0.717984139919281,1.2580339908599854,2.2503130435943604,8.458438873291016,3.4975011348724365,10.425128936767578,7.958584785461426,0.047268067311961204
