epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.019999999552965164,0.24172702431678772,3.0002901554107666,2.7575278282165527,9.161764144897461,2.7156901359558105,8.548599243164062,9.79734992980957,0
1,0.03227983042597771,0.35344818234443665,2.9349782466888428,2.6586995124816895,8.806551933288574,2.598496913909912,8.109612464904785,9.637722969055176,3.212806034833193
2,0.06712227314710617,0.4333919882774353,2.8900341987609863,2.550827980041504,8.21742057800293,2.5429136753082275,7.765789985656738,9.47895336151123,0.6043899487704039
3,0.06638907641172409,0.4479845464229584,2.878516435623169,2.543591260910034,8.202595710754395,2.5391955375671387,7.770522594451904,9.319272994995117,0.5520974453538656
4,0.0488094761967659,0.43447110056877136,2.8758466243743896,2.589060068130493,8.52076244354248,2.558168649673462,7.98097562789917,9.166572570800781,0.515134010463953
5,-0.030982716009020805,0.40649864077568054,2.875089645385742,2.680776596069336,8.977502822875977,2.6092216968536377,8.216188430786133,9.014809608459473,0.3338369042612612
6,-0.013570045121014118,0.4443743824958801,2.868530511856079,2.698331117630005,9.040581703186035,2.622260808944702,8.27572250366211,8.85051441192627,0.363600240991218
7,-0.015437816269695759,0.44867122173309326,2.865401029586792,2.6978962421417236,9.016473770141602,2.627980947494507,8.298377990722656,8.689347267150879,0.05500984832178801
8,-0.008701596409082413,0.4497913718223572,2.862720251083374,2.6988916397094727,9.005592346191406,2.6318347454071045,8.304214477539062,8.534082412719727,0.06179594562854618
9,-0.011436744593083858,0.44390806555747986,2.8598594665527344,2.7006475925445557,8.99882698059082,2.637108564376831,8.319525718688965,8.480900764465332,0.05432495864806697
10,-0.0008413383620791137,0.4424857199192047,2.8607265949249268,2.6955630779266357,8.968792915344238,2.64481782913208,8.35486888885498,8.467045783996582,0.0577537773642689
