epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.10000000149011612,0.345167338848114,1.7101956605911255,2.9684553146362305,10.530745506286621,4.263136863708496,12.39979362487793,9.5006742477417,2.7442679405212402,0
1,0.08530539274215698,0.3292744755744934,1.5678706169128418,2.49338960647583,8.474297523498535,3.8840243816375732,10.538880348205566,9.340825080871582,2.6018576622009277,1.3204296885147344e+31
2,0.0987478718161583,0.34228700399398804,1.5413446426391602,2.1135222911834717,6.992525100708008,3.5762577056884766,9.218080520629883,9.18166446685791,2.5706961154937744,1.7674375592800486e+26
3,0.1017545610666275,0.3447108268737793,1.5305933952331543,1.7988700866699219,5.68753719329834,3.3014402389526367,8.070813179016113,9.023613929748535,2.553736686706543,9.101573327765982e+26
4,0.10241039842367172,0.3446658253669739,1.5226303339004517,1.5446218252182007,4.669105529785156,3.0538125038146973,7.140769958496094,8.866860389709473,2.538414239883423,1.0482446483155289e+27
5,0.10254853218793869,0.34400486946105957,1.5146180391311646,1.341597318649292,3.870537757873535,2.82873797416687,6.353294372558594,8.711465835571289,2.522082567214966,7.074076894641661e+26
6,0.10257664322853088,0.3431474268436432,1.5059980154037476,1.1809430122375488,3.2193188667297363,2.6229376792907715,5.647216796875,8.557448387145996,2.504304885864258,4.01680173612475e+26
7,0.10258196294307709,0.34218865633010864,1.4967105388641357,1.053667664527893,2.702120780944824,2.433480978012085,5.037847518920898,8.404818534851074,2.4851131439208984,2.0765069014654646e+26
8,0.10258261114358902,0.3411525785923004,1.4867933988571167,0.9513455629348755,2.287977457046509,2.257963180541992,4.512141227722168,8.253582000732422,2.46461820602417,1.0632561964732758e+26
9,0.10258229076862335,0.3400476276874542,1.4762980937957764,0.8670875430107117,1.9584033489227295,2.0946593284606934,4.051865577697754,8.103741645812988,2.442932367324829,5.214976702500653e+25
10,0.10258174687623978,0.33887842297554016,1.4652734994888306,0.7958256006240845,1.696311116218567,1.942371129989624,3.6480183601379395,7.955304145812988,2.4201579093933105,2.305472633180339e+25
